token_address,token_symbol,creator_address,is_airdrop_scam,is_honeypot
0x479763d77cb82155a27fbb94c11f055064473e17,B᠎N᠎B,0x756ea0e357c9dca2e8bbb7ac53bb7537a2861099,,0
0x64a308881990c70826676b908e54054fac0f1a96,B᠎Ν᠎B,0x756ea0e357c9dca2e8bbb7ac53bb7537a2861099,,0
0x76251603b6c7df8d06e7fade0c47ccc1d31d801c,B᠎Ν᠎B,0x78b7fa4b19268ee10e3a3bd7aada077ba7888888,,0
0xae2b2b6b879caf2cf9340e0b96901973590654b6,B᠎Ν᠎B,0x0daa4798ee696ffb75f660ec8c4d1a87d7666666,,0
0xd6a94978a51796e0b570446f5fe6f616fe08a4f2,B᠎Ν᠎B,0xccb9b9db0ca22ed3781f19a9d2583dfe7a000000,,0
0x0ee853550d97b42e5e832b2e216271fe69ddcd45,USDT­,0xbaf4fed85bbd89616973bc6ee3679640bbc4c4d4,,0
0xc6e9d9a2663879add56acef4dd2e04b2ce1c04f6,USDŦ,0x9ce533cab5d8428d777bb603d753be423396cbc1,,
0xf3135c779ce72c9b67afa853c3a8699242826ed7,USDŦ,0x9ce533cab5d8428d777bb603d753be423396cbc1,,0
0x3784b5d7b9256a8ec773d4bceab7b1abdc5c5aba,USDС,0x9872a42904f831e1b83f73815f11766ebf64c604,,
0xd6ba0c40f6e29747086a1edbb7299852fae40707,USDС,0x702659cdeca87552fb445b7ab9146c9568bae1d8,,
0xae7ba4a75b3c2781e8937526372f731a21adce3b,USDС,0x069823086a326de10b730cb31c1eb62ae75fd630,,
0x1d70eae23db8c98b5e2a7746110aa49373c0ebd0,USDТ,0x9872a42904f831e1b83f73815f11766ebf64c604,,
0x07a5ef57368b06aff083e7ff2e48427f4625eb53,USDТ,0x702659cdeca87552fb445b7ab9146c9568bae1d8,,
0xe39b7982d628edff39f9cc4c7b98d92eb75baa38,USDТ,0x069823086a326de10b730cb31c1eb62ae75fd630,,
